Customer_ID,Customer_Name,City,Age,Email
1,George Shelton,Grimesmouth,35,jenkinsmorgan@yahoo.com
2,Christopher Mcdonald,Reedside,42,caroline51@romero.com
3,Marcus Johnson,Gibsonmouth,59,danny49@gmail.com
4,Justin Johnson,Lake John,48,lynchdiane@hotmail.com
5,Brandy Murray,Hallchester,20,whitejacqueline@yahoo.com
6,James Lewis,West Juliefurt,57,adam29@hotmail.com
7,Philip Gray,Mcneilberg,63,thomascynthia@gmail.com
8,Sandra King,Hannaberg,41,nicholaschavez@wood.com
9,Alec Ryan,Mollymouth,67,moorekaren@craig.info
10,Mrs. Marie Harrington DDS,New Reneetown,49,alawson@yahoo.com
11,Tiffany Gonzalez,South Monica,64,reeddaniel@gregory.com
12,Christian Martinez,North Terrance,39,djoyce@harris.com
13,Kristy Robinson,Matthewfurt,40,mark07@hotmail.com
14,Pamela Jackson,Port Markside,19,davidpatel@gmail.com
15,Nicole Wilson,Finleyfort,44,sandersjudy@yahoo.com
16,Traci Rodriguez,New Caseyport,59,umorse@patterson.com
17,Eric Byrd,Lake Christopher,19,usmith@solis.info
18,Jennifer Espinoza,Port Cynthiaville,43,kimdaniel@yahoo.com
19,Michael Burton,Jacksonport,34,fosterkyle@yahoo.com
20,Raymond Jefferson,North Markton,57,kimberly18@wilson.com
21,Barbara Riggs,Michaelchester,50,joelthomas@gmail.com
22,Hannah Patterson,East Amanda,26,kathleenrios@bean.info
23,Jonathan Peterson,East Gregory,60,kmaldonado@hotmail.com
24,Samantha Garcia,Harveybury,65,edward17@yahoo.com
25,Madison Poole,Durhamberg,56,brittany58@gmail.com
26,Jessica Gross,South Dana,46,dhayes@yahoo.com
27,Debra Morton,Scotttown,59,newmantiffany@gmail.com
28,Karen Graham,Santanaside,43,ycarpenter@hotmail.com
29,Debra Christian,North Scott,52,kstout@lopez.com
30,Angelica Keith,Vanessaport,67,shepherdmary@hotmail.com
31,John Bishop,Vaughnmouth,42,benjaminzimmerman@warren-bishop.com
32,Allen Rosales,Jamesfurt,41,paul59@gmail.com
33,Daniel Salinas,Rodriguezfurt,30,riveraangela@yahoo.com
34,Spencer Haynes,Baileyport,24,jennifer92@yahoo.com
35,Adam Vaughan,Port Dominiqueview,53,sabrinacollins@hale.com
36,Nathan Freeman,New Michelleton,62,vschneider@gmail.com
37,Melissa Brewer,Wallport,37,bromero@parker-bean.com
38,Ricky Davis II,New Laurie,18,jeremytaylor@gmail.com
39,Elizabeth Perkins,Lake James,25,romeroamber@hotmail.com
40,Joseph Coleman,Ericaberg,63,nancy92@bennett.org
41,Erin Warner,Lake Debbieport,33,xwilliams@ball.info
42,David Martinez,Johnsonstad,31,kylestokes@mckee-lee.org
43,Bryan Herrera,North Renee,29,xhammond@yahoo.com
44,Cathy Robinson,Julieburgh,68,lisasolis@gmail.com
45,Dr. William Warren,East Kristin,40,davidsonmorgan@hotmail.com
